First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Clint,Carroll,AB736435C,Enhanced protection,47639886,966.96,2022-11-03
Ulices,Stiedemann,AB478304C,Fixed protection,80366962,958.87,2022-11-08
Odell,Schoen,AB474736C,Individual protection 2016,20005996,37.34,2022-11-07
Kirk,Hamill,AB198201C,Fixed protection 2016,53428720,985.78,2022-11-02
Ella,Rutherford,AB496248C,Individual protection 2014,98945188,568.61,2022-11-01
Afton,Johnson,AB187968C,Fixed protection,83869451,685.80,2022-11-02
Lourdes,Gibson,AB578473C,Individual protection 2016,71710867,854.12,2022-11-05
Kavon,D'Amore,AB819074C,Fixed protection 2016,18299972,524.69,2022-11-06
Estrella,Boehm,AB840987C,Individual protection 2016,81056463,278.86,2022-11-03
Mark,Rosenbaum,AB867873C,Fixed protection,53080763,369.57,2022-11-04
Alyce,Rolfson,AB658347C,Fixed protection 2014,46518185,721.72,2022-11-02
Marley,Greenfelder,AB109487C,Individual protection 2014,79120608,127.12,2022-11-02
Kylie,Kuphal,AB996136C,Enhanced lifetime allowance,54924799,946.43,2022-11-06
Christy,Zieme,AB876859C,Fixed protection,47227859,876.40,2022-11-01
Jarret,Haley,AB611893C,Fixed protection 2016,85890449,69.03,2022-11-07
Rosina,Herman,AB826555C,Enhanced lifetime allowance,17333219,427.46,2022-11-05
Maymie,Dooley,AB210465C,Individual protection 2014,12570066,758.62,2022-11-06
Raheem,Greenfelder,AB900496C,Enhanced lifetime allowance,48552315,483.64,2022-11-04
Jena,Cassin,AB642430C,Enhanced lifetime allowance,11472493,312.67,2022-11-02
Deonte,Dickinson,AB293102C,Fixed protection 2016,66241116,257.71,2022-11-03
Darlene,Fahey,AB688128C,Fixed protection 2016,22546523,80.75,2022-11-01
Adrien,Quigley,AB923406C,Fixed protection,82972696,282.19,2022-11-02
Heidi,Larson,AB329405C,Fixed protection 2014,79833410,630.53,2022-11-03
Sherman,Hansen,AB783978C,Fixed protection 2014,55505883,809.84,2022-11-05
Dianna,Prosacco,AB787870C,Fixed protection,46979179,238.39,2022-11-03
Alisha,Rice,AB444077C,Enhanced protection,39744095,421.38,2022-11-02
Amie,Rogahn,AB717842C,Enhanced lifetime allowance,41855158,439.37,2022-11-01
Darrel,Powlowski,AB871329C,Enhanced protection,59020474,513.40,2022-11-01
Kody,McDermott,AB399592C,Individual protection 2016,23666936,259.45,2022-11-01
Deontae,Pouros,AB544645C,Individual protection 2014,80619495,20.37,2022-11-01
Esta,Hammes,AB376678C,Individual protection 2016,36991439,831.77,2022-11-06
Arely,Will,AB657254C,Fixed protection,65912890,368.54,2022-11-01
Elmo,Koelpin,AB202301C,Individual protection 2014,72898414,194.17,2022-11-04
Ford,Lesch,AB914193C,Enhanced lifetime allowance,79521067,66.31,2022-11-04
Linnea,Hand,AB432215C,Fixed protection,29656218,811.96,2022-11-07
Tianna,Cormier,AB681948C,Enhanced lifetime allowance,32572792,648.56,2022-11-08
Dariana,Crooks,AB292026C,Fixed protection 2016,54026076,941.15,2022-11-01
Sandrine,Will,AB535383C,Enhanced protection,43956070,352.31,2022-11-03
Greta,Larson,AB912361C,Fixed protection,63505583,979.02,2022-11-04
Zoe,Jaskolski,AB631175C,Fixed protection 2016,24715990,698.20,2022-11-02
Kellie,Hodkiewicz,AB523281C,Enhanced protection,59233637,292.34,2022-11-02
Bailey,Murazik,AB141562C,Individual protection 2016,58560482,509.19,2022-11-08
Abraham,Botsford,AB703885C,Enhanced lifetime allowance,10737613,723.28,2022-11-04
Astrid,Schuppe,AB742879C,Fixed protection 2014,61851519,123.56,2022-11-04
Cole,Dach,AB404488C,Enhanced protection,41524029,990.85,2022-11-07
Amara,Koelpin,AB779608C,Individual protection 2014,69473089,983.06,2022-11-04
Tyler,Beatty,AB985140C,Enhanced lifetime allowance,54338216,834.27,2022-11-02
Manley,Lemke,AB352130C,Fixed protection 2016,64112096,256.93,2022-11-08
Jacinto,DuBuque,AB606329C,Fixed protection 2016,40690623,859.32,2022-11-04
Kennedy,Volkman,AB728563C,Enhanced protection,66239538,83.35,2022-11-03
Jenifer,Heller,AB302118C,Individual protection 2016,95032597,520.87,2022-11-05
Myron,O'Hara,AB893520C,Fixed protection,68017508,85.30,2022-11-01
Edd,Hackett,AB731241C,Enhanced lifetime allowance,87310237,325.59,2022-11-03
Tatum,Lemke,AB200018C,Enhanced lifetime allowance,11862974,646.21,2022-11-01
Itzel,Nikolaus,AB803707C,Fixed protection,29712735,896.38,2022-11-05
Modesta,Mohr,AB513257C,Fixed protection 2016,99661416,470.75,2022-11-04
Connor,Zulauf,AB285795C,Fixed protection 2016,79253278,550.64,2022-11-08
Jerry,Kub,AB706642C,Enhanced protection,37671418,975.81,2022-11-04
Brionna,Jacobson,AB269217C,Enhanced lifetime allowance,38895630,257.08,2022-11-07
Brice,Effertz,AB164287C,Fixed protection 2014,77960703,403.50,2022-11-06
Enoch,Mayer,AB299571C,Individual protection 2014,51756452,591.28,2022-11-01
Damien,O'Kon,AB543288C,Fixed protection 2016,81611951,55.66,2022-11-06
Jerrold,Jacobi,AB182923C,Enhanced lifetime allowance,11475761,103.48,2022-11-06
Domenic,Ankunding,AB251358C,Enhanced protection,72260235,868.58,2022-11-04
Joesph,Kovacek,AB987059C,Individual protection 2016,52647818,142.00,2022-11-06
Shanna,Hoeger,AB441034C,Enhanced lifetime allowance,75141501,612.48,2022-11-02
Unique,Fisher,AB450250C,Fixed protection 2014,11202303,166.41,2022-11-03
Urban,Koepp,AB803354C,Individual protection 2014,21068828,993.55,2022-11-06
Bryana,Beier,AB978049C,Individual protection 2014,84592559,931.76,2022-11-02
Velva,Howe,AB536949C,Fixed protection,90258723,371.63,2022-11-08
Adrain,Kunde,AB607354C,Fixed protection 2016,40592255,184.76,2022-11-07
Harvey,Jewess,AB377300C,Individual protection 2016,89906378,697.23,2022-11-07
Adela,Runte,AB857211C,Enhanced lifetime allowance,29384894,642.81,2022-11-02
Makenzie,Conroy,AB612971C,Fixed protection,17793544,757.59,2022-11-05
Clara,Williamson,AB265994C,Fixed protection 2016,14728101,307.11,2022-11-01
Sigrid,Kulas,AB327508C,Enhanced lifetime allowance,36017406,518.76,2022-11-04
Khalid,Wiza,AB580307C,Enhanced protection,95378075,74.09,2022-11-03
Eino,Hayes,AB165313C,Individual protection 2014,22286778,486.36,2022-11-01
Raphael,Koepp,AB573772C,Enhanced protection,79783874,20.92,2022-11-02
Brandon,Wiza,AB569428C,Individual protection 2014,28090996,997.65,2022-11-03
Salma,Swift,AB283429C,Enhanced lifetime allowance,33201470,819.42,2022-11-07
Arch,Kshlerin,AB109146C,Individual protection 2014,98197589,889.12,2022-11-04
Verona,Fritsch,AB217409C,Enhanced protection,92757574,645.51,2022-11-01
Virginie,Kerluke,AB698463C,Enhanced lifetime allowance,59289531,149.07,2022-11-08
Boyd,Hegmann,AB794625C,Individual protection 2016,88963071,600.52,2022-11-08
Briana,Leffler,AB929105C,Fixed protection 2014,88629843,374.62,2022-11-06
Brandt,Beahan,AB303722C,Individual protection 2016,30550261,192.87,2022-11-07
Margarett,Cassin,AB761065C,Fixed protection 2016,57942764,534.45,2022-11-05
Hazle,Yost,AB767398C,Enhanced lifetime allowance,79418156,729.84,2022-11-04
Sheila,Cole,AB274963C,Individual protection 2016,35788198,298.65,2022-11-03
Fernando,Beier,AB633232C,Fixed protection 2016,86201061,844.65,2022-11-02
Shaun,Cronin,AB157422C,Enhanced lifetime allowance,28081172,456.16,2022-11-06
Sydni,Johnson,AB657541C,Fixed protection,45362278,212.51,2022-11-07
Westley,Collier,AB136997C,Individual protection 2014,80600981,126.68,2022-11-04
Dorcas,Wolf,AB159897C,Fixed protection 2016,29011964,823.69,2022-11-02
Sheldon,Johns,AB606405C,Fixed protection 2016,45680017,774.00,2022-11-08
Bonnie,Nienow,AB550638C,Enhanced lifetime allowance,43822754,828.12,2022-11-05
Bernie,Becker,AB832318C,Fixed protection 2014,52261409,899.63,2022-11-05
Lew,Pfannerstill,AB241229C,Enhanced protection,85691733,390.54,2022-11-06
Loraine,Bosco,AB397972C,Enhanced protection,52427246,154.42,2022-11-04
Claud,Osinski,AB686338C,Fixed protection 2016,93438903,741.50,2022-11-02
Vilma,Bogan,AB916210C,Fixed protection 2016,78166053,927.49,2022-11-05
Jaylin,Erdman,AB138942C,Enhanced protection,53472878,846.96,2022-11-06
Jacey,Conroy,AB435255C,Enhanced protection,75949867,864.15,2022-11-05
Diamond,Gleichner,AB958335C,Enhanced protection,41504203,516.24,2022-11-07
Christ,Lesch,AB845739C,Fixed protection,13618681,349.62,2022-11-01
Jeffrey,Connelly,AB452204C,Individual protection 2014,77049845,107.30,2022-11-07
Isom,Rohan,AB322542C,Fixed protection 2014,23513789,796.42,2022-11-08
Frank,Greenholt,AB196460C,Enhanced protection,41276528,722.89,2022-11-05
Mark,Kerluke,AB909735C,Enhanced lifetime allowance,79922033,183.81,2022-11-03
Damian,Grady,AB291335C,Enhanced protection,13020651,773.74,2022-11-01
Leif,Rogahn,AB656576C,Fixed protection 2016,29918367,159.19,2022-11-07
Aurore,Thompson,AB255558C,Individual protection 2016,31949782,530.44,2022-11-01
Ernest,Balistreri,AB900736C,Enhanced lifetime allowance,44118914,877.39,2022-11-01
Murray,O'Kon,AB204410C,Fixed protection,72686827,512.72,2022-11-04
Romaine,Koelpin,AB723387C,Individual protection 2014,74407248,3.69,2022-11-06
Zita,Gorczany,AB804540C,Individual protection 2016,59302220,297.05,2022-11-07
Gino,Armstrong,AB655555C,Individual protection 2014,62799284,735.02,2022-11-08
Eugenia,Bednar,AB216215C,Fixed protection 2016,77834013,435.83,2022-11-08
Chaya,Kutch,AB185831C,Enhanced lifetime allowance,91000924,665.75,2022-11-01
Lillie,Tremblay,AB913231C,Fixed protection 2016,14715621,13.51,2022-11-08
Jackson,Ferry,AB840973C,Fixed protection 2014,28613422,66.92,2022-11-06
Frieda,Jakubowski,AB522545C,Enhanced lifetime allowance,97345015,438.98,2022-11-02
Estrella,Reichel,AB782256C,Fixed protection 2014,39004523,553.46,2022-11-01
Keon,Reichel,AB440981C,Fixed protection 2016,34787896,318.39,2022-11-03
Emelia,Jenkins,AB164959C,Fixed protection 2016,99379221,186.02,2022-11-01
Aracely,Grimes,AB932913C,Individual protection 2016,51970388,709.39,2022-11-02
Colten,Denesik,AB960330C,Enhanced lifetime allowance,29253603,103.86,2022-11-02
Prudence,Doyle,AB201489C,Fixed protection,76006108,369.39,2022-11-08
Lindsay,Effertz,AB926061C,Enhanced lifetime allowance,19049169,981.09,2022-11-01
Spencer,Johnston,AB515600C,Fixed protection,92657937,91.04,2022-11-06
Daphnee,Dickinson,AB157563C,Individual protection 2016,36643905,487.01,2022-11-03
Luther,Harvey,AB747034C,Fixed protection 2014,43948429,596.25,2022-11-07
Kiel,Bode,AB125395C,Enhanced protection,79386105,93.20,2022-11-04
Julianne,Cassin,AB678242C,Individual protection 2014,80770937,123.09,2022-11-02
Maxime,Willms,AB784289C,Enhanced lifetime allowance,63612645,684.14,2022-11-03
Mohammed,Aufderhar,AB265599C,Enhanced protection,85626423,100.75,2022-11-07
Jaida,Bayer,AB228882C,Enhanced protection,68363816,949.45,2022-11-05
Marlene,Prohaska,AB320358C,Enhanced protection,57180847,975.78,2022-11-06
Dwight,Heaney,AB236451C,Fixed protection 2016,66590628,198.44,2022-11-07
Jaycee,Kuhlman,AB191662C,Fixed protection,68516370,683.37,2022-11-03
Caroline,Armstrong,AB536089C,Fixed protection 2014,49643880,152.80,2022-11-06
Sigrid,Gerhold,AB840970C,Fixed protection 2014,60278968,720.39,2022-11-05
Linnea,Hamill,AB354110C,Fixed protection 2016,20724374,651.07,2022-11-01
Rodolfo,Crooks,AB305974C,Fixed protection 2016,47683575,960.40,2022-11-07
Wilhelmine,Terry,AB480175C,Fixed protection 2016,43778044,443.14,2022-11-01
Lori,Carter,AB638491C,Fixed protection 2014,70545449,409.82,2022-11-04
Shakira,Doyle,AB272640C,Individual protection 2014,45502502,125.72,2022-11-02
Zoie,West,AB997417C,Enhanced protection,96956303,93.88,2022-11-06
Lawrence,Beier,AB421396C,Enhanced lifetime allowance,33013580,899.00,2022-11-04
Noble,Mayert,AB142078C,Individual protection 2014,47843825,218.98,2022-11-01
Evelyn,Spencer,AB547315C,Fixed protection,18633883,196.38,2022-11-06
Tia,Ziemann,AB140219C,Enhanced protection,83325865,462.92,2022-11-07
Jaiden,Gleason,AB789541C,Fixed protection,11644722,241.58,2022-11-03
Amos,Ryan,AB517719C,Fixed protection 2016,98519928,305.59,2022-11-05
Gia,Rohan,AB572077C,Fixed protection 2014,17925314,409.33,2022-11-04
Tess,Lowe,AB266350C,Enhanced lifetime allowance,74736857,971.65,2022-11-05
Marlon,Toy,AB925562C,Enhanced lifetime allowance,11664479,152.40,2022-11-03
Brigitte,Flatley,AB479280C,Fixed protection,47084060,220.92,2022-11-02
Terence,Breitenberg,AB414925C,Fixed protection,16722495,527.70,2022-11-04
Dandre,Swaniawski,AB810504C,Individual protection 2016,30900482,841.61,2022-11-05
Idella,Medhurst,AB528101C,Individual protection 2014,77060513,970.90,2022-11-05
Jennyfer,Reichel,AB905010C,Enhanced lifetime allowance,10460267,797.67,2022-11-06
Joesph,Wintheiser,AB710122C,Enhanced lifetime allowance,51937464,174.46,2022-11-03
Marshall,Tromp,AB676582C,Fixed protection 2014,14998746,317.40,2022-11-03
Jeffrey,Goyette,AB840287C,Enhanced lifetime allowance,77192670,96.66,2022-11-07
Annamae,Pollich,AB444122C,Individual protection 2016,67878160,223.38,2022-11-02
Daphne,Krajcik,AB304033C,Enhanced lifetime allowance,35839002,543.85,2022-11-02
Lyda,Predovic,AB326871C,Enhanced lifetime allowance,73056296,551.76,2022-11-03
Eva,Price,AB616403C,Fixed protection 2014,36380982,627.13,2022-11-02
Fermin,Bruen,AB202296C,Enhanced lifetime allowance,23658503,396.80,2022-11-02
Isabell,Eichmann,AB537355C,Fixed protection 2014,17351119,546.05,2022-11-05
Deborah,Goyette,AB677693C,Fixed protection 2016,38366923,257.57,2022-11-02
Shyanne,Pouros,AB396842C,Enhanced lifetime allowance,25318577,112.58,2022-11-02
Ilene,Robel,AB510255C,Enhanced protection,28134964,431.87,2022-11-08
Kailee,Muller,AB607135C,Fixed protection 2016,23217255,160.13,2022-11-08
Luna,Flatley,AB529431C,Individual protection 2016,76915549,927.08,2022-11-01
Jennyfer,Hodkiewicz,AB393057C,Enhanced protection,68526460,267.28,2022-11-04
Darrion,Jaskolski,AB987891C,Enhanced protection,22932518,17.48,2022-11-02
Carey,Heathcote,AB458220C,Enhanced protection,41359974,391.48,2022-11-05
Axel,Jerde,AB199505C,Enhanced lifetime allowance,77198570,939.52,2022-11-06
Asia,Erdman,AB850255C,Fixed protection 2016,79965083,531.72,2022-11-03
Alexandra,Kub,AB655739C,Fixed protection,56291341,86.57,2022-11-06
Melvin,Beier,AB865465C,Fixed protection 2014,70545340,679.60,2022-11-02
Karen,Spinka,AB394442C,Fixed protection 2016,85087340,886.48,2022-11-07
Erwin,Hahn,AB341346C,Enhanced protection,30063906,457.62,2022-11-08
Joy,Gibson,AB267510C,Fixed protection 2014,74973331,467.38,2022-11-08
Kenya,Kub,AB593620C,Enhanced lifetime allowance,22793022,346.71,2022-11-08
Garnett,Hintz,AB175548C,Individual protection 2014,26118733,61.63,2022-11-08
Zachariah,Bosco,AB236150C,Fixed protection 2016,13597978,285.48,2022-11-02
Alfonso,Reinger,AB892085C,Fixed protection,46744977,496.95,2022-11-06
Alverta,Ritchie,AB893186C,Individual protection 2014,96233336,923.41,2022-11-07
Brigitte,Schaefer,AB448589C,Individual protection 2016,19298751,141.81,2022-11-01
Rosalyn,Monahan,AB954807C,Fixed protection 2016,62764139,97.47,2022-11-06
Jaylin,Kunze,AB332994C,Fixed protection 2016,85119013,912.82,2022-11-08
Tiara,Hodkiewicz,AB575307C,Fixed protection 2014,80679768,948.31,2022-11-01
Mabelle,Reilly,AB539210C,Enhanced lifetime allowance,58313307,140.26,2022-11-01
Orville,Blanda,AB441911C,Enhanced protection,71568286,413.04,2022-11-06
Lavina,Douglas,AB787980C,Individual protection 2016,38188669,482.26,2022-11-04
Kristin,Donnelly,AB178952C,Fixed protection,39825315,736.32,2022-11-01
Aaliyah,Blanda,AB983584C,Fixed protection,41458769,708.34,2022-11-07
Camilla,Steuber,AB603113C,Fixed protection 2016,62122538,300.98,2022-11-01
Carole,Thompson,AB919122C,Enhanced protection,16582502,182.97,2022-11-02
Elenor,Price,AB352705C,Enhanced lifetime allowance,88973532,872.81,2022-11-04
Vidal,Howe,AB200494C,Enhanced protection,88560584,303.68,2022-11-01
Doris,McClure,AB945202C,Fixed protection 2016,78620827,4.36,2022-11-06
Lucious,Gleichner,AB834412C,Enhanced protection,85004179,400.27,2022-11-05
Arden,Hane,AB375352C,Enhanced protection,10367058,732.62,2022-11-01
Charity,Gusikowski,AB836328C,Enhanced lifetime allowance,51132738,170.19,2022-11-04
Brice,Cormier,AB993905C,Fixed protection 2014,73794255,322.80,2022-11-04
Jane,Eichmann,AB645364C,Fixed protection 2016,82279885,237.54,2022-11-02
Carmine,Muller,AB415865C,Individual protection 2014,83772075,996.74,2022-11-03
Junior,Roberts,AB822147C,Fixed protection 2016,49995680,646.96,2022-11-08
Lesley,Hilpert,AB696594C,Fixed protection 2016,67802562,724.31,2022-11-02
Perry,McKenzie,AB699315C,Fixed protection 2016,18571603,311.78,2022-11-08
Stephany,Rowe,AB632476C,Individual protection 2014,69228788,294.84,2022-11-05
Sonia,Wiegand,AB622810C,Enhanced lifetime allowance,97455475,453.05,2022-11-02
Rodrick,Wisoky,AB942764C,Individual protection 2016,18465258,625.70,2022-11-02
Luis,Kertzmann,AB885678C,Fixed protection,88139229,528.88,2022-11-03
Jammie,Rohan,AB989052C,Fixed protection 2014,70522444,301.51,2022-11-04
Gavin,Wyman,AB129289C,Individual protection 2014,52781915,887.97,2022-11-06
Cory,Stiedemann,AB162301C,Enhanced protection,47155434,321.75,2022-11-02
Lela,Crooks,AB984175C,Enhanced lifetime allowance,29428462,166.60,2022-11-08
Mafalda,Gerlach,AB882491C,Fixed protection 2016,69263300,419.01,2022-11-07
Nikita,O'Hara,AB112049C,Fixed protection 2016,75292486,516.26,2022-11-04
Ariel,Cartwright,AB497604C,Individual protection 2016,79596833,53.75,2022-11-07
Marian,Abbott,AB937380C,Fixed protection 2014,90058092,591.81,2022-11-02
Martina,Lind,AB500758C,Individual protection 2016,50081904,549.05,2022-11-01
Bret,Gerlach,AB515370C,Fixed protection 2016,97606047,588.69,2022-11-08
Mac,Collins,AB527864C,Fixed protection 2014,34109368,456.58,2022-11-03
Henriette,Mohr,AB561115C,Individual protection 2016,30294102,687.15,2022-11-01
Landen,Fay,AB758743C,Fixed protection 2014,81979667,686.98,2022-11-07
Delphia,Ryan,AB210732C,Individual protection 2016,45499927,485.05,2022-11-03
Vincenza,O'Reilly,AB809112C,Enhanced protection,89535073,479.75,2022-11-07
Junior,Hermiston,AB235760C,Enhanced lifetime allowance,27180540,411.02,2022-11-04
Leda,Cummings,AB342560C,Fixed protection 2014,87741735,611.87,2022-11-03
Salvador,King,AB455497C,Enhanced protection,11536776,681.07,2022-11-06
Destiney,Lemke,AB709373C,Fixed protection 2016,24435874,705.25,2022-11-06
Jaden,King,AB697739C,Fixed protection 2016,89155405,409.22,2022-11-02
Elisa,Rutherford,AB902689C,Individual protection 2014,39084433,289.80,2022-11-07
Elisabeth,Price,AB865689C,Enhanced protection,66365315,245.43,2022-11-08
Sydney,Turcotte,AB237121C,Enhanced protection,38750523,607.62,2022-11-04
Catharine,Robel,AB741892C,Fixed protection 2016,53206986,684.30,2022-11-05
Aleen,Schroeder,AB682914C,Individual protection 2016,13067470,946.66,2022-11-02
August,Romaguera,AB963709C,Fixed protection 2016,36357764,131.69,2022-11-07
Eusebio,Torp,AB558951C,Fixed protection 2016,31495488,731.79,2022-11-05
Mariane,Okuneva,AB473921C,Individual protection 2014,67358154,442.18,2022-11-02
Brendon,Ortiz,AB929696C,Enhanced lifetime allowance,30455858,717.70,2022-11-03
Amanda,Metz,AB624299C,Fixed protection,23025037,6.32,2022-11-07
Alfonso,Nader,AB759098C,Enhanced lifetime allowance,13818090,280.81,2022-11-06
Harmon,Feest,AB799972C,Fixed protection 2014,49715494,812.41,2022-11-08
Ally,Durgan,AB276932C,Individual protection 2016,75197712,825.83,2022-11-08
Jovany,Rice,AB840390C,Fixed protection 2014,34113896,805.76,2022-11-04
Ubaldo,Konopelski,AB222373C,Fixed protection 2014,99341590,540.39,2022-11-07
Mercedes,Bogan,AB804725C,Enhanced protection,35893450,656.31,2022-11-06
Jasmin,Runolfsson,AB350142C,Fixed protection 2014,34012174,663.02,2022-11-05
Leonor,Goodwin,AB727299C,Fixed protection,41599148,589.96,2022-11-01
Herbert,Macejkovic,AB242271C,Enhanced lifetime allowance,83248043,227.23,2022-11-05
Dovie,Franecki,AB987626C,Individual protection 2016,30371201,82.80,2022-11-02
Lucy,Thiel,AB134873C,Enhanced lifetime allowance,90657780,225.01,2022-11-04
