First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Brain,Hills,AB525223C,2022 to 2023,879.90
Lorenz,Grady,AB304914C,2022 to 2023,553.04
Wava,Glover,AB718212C,2022 to 2023,259.76
Devyn,McDermott,AB333582C,2022 to 2023,599.30
Kale,Treutel,AB956246C,2022 to 2023,731.12
Tiffany,Franecki,AB482358C,2022 to 2023,179.51
Lucio,Willms,AB732656C,2022 to 2023,877.73
Carolina,Steuber,AB601761C,2022 to 2023,992.42
Aniya,Collins,AB477549C,2022 to 2023,423.59
Kacey,Kovacek,AB146908C,2022 to 2023,844.19
Abdullah,Walker,AB363003C,2022 to 2023,49.52
Zaria,Kerluke,AB388704C,2022 to 2023,499.19
Kamryn,Kovacek,AB836076C,2022 to 2023,959.01
Lance,Fadel,AB900125C,2022 to 2023,443.32
Ewell,Gleason,AB686196C,2022 to 2023,778.01
Alice,Dickens,AB965233C,2022 to 2023,499.63
Robert,Dickinson,AB579512C,2022 to 2023,903.99
Edgardo,D'Amore,AB661769C,2022 to 2023,518.16
Jarret,Kunde,AB743908C,2022 to 2023,527.21
Kenyon,Marks,AB411060C,2022 to 2023,46.90
Theresia,Buckridge,AB214294C,2022 to 2023,935.55
Magnus,Ledner,AB855019C,2022 to 2023,463.73
Amina,Keebler,AB403492C,2022 to 2023,104.44
Reymundo,Parker,AB286347C,2022 to 2023,117.44
Marilie,Sporer,AB237691C,2022 to 2023,925.26
Enid,Mitchell,AB501776C,2022 to 2023,580.26
Nickolas,Bergstrom,AB184189C,2022 to 2023,982.50
Isom,Gulgowski,AB754414C,2022 to 2023,817.61
Kira,Adams,AB343718C,2022 to 2023,791.29
Mallie,Schmidt,AB581492C,2022 to 2023,270.31
Rosalee,O'Connell,AB845884C,2022 to 2023,806.88
Winona,Stanton,AB530359C,2022 to 2023,159.70
Lucienne,Bergnaum,AB482427C,2022 to 2023,91.43
Kellie,Simonis,AB513016C,2022 to 2023,374.99
Elvera,Nicolas,AB859350C,2022 to 2023,104.48
Rey,Ernser,AB199487C,2022 to 2023,741.19
Randy,Welch,AB576305C,2022 to 2023,994.09
Stefan,Borer,AB383315C,2022 to 2023,525.74
Jennifer,Stroman,AB710726C,2022 to 2023,91.28
Lilian,Leffler,AB348915C,2022 to 2023,368.76
Gaston,Walter,AB457577C,2022 to 2023,540.73
Marcia,Kerluke,AB680061C,2022 to 2023,121.28
Wilson,Jones,AB907824C,2022 to 2023,982.67
Tristin,Zboncak,AB690027C,2022 to 2023,25.42
Uriah,Sporer,AB148947C,2022 to 2023,339.09
Manuel,Sporer,AB241148C,2022 to 2023,215.40
Jillian,Waelchi,AB302231C,2022 to 2023,141.06
Ryann,Deckow,AB389349C,2022 to 2023,249.04
Libby,Windler,AB650482C,2022 to 2023,729.01
Kendall,Batz,AB928481C,2022 to 2023,838.20
David,Kemmer,AB657983C,2022 to 2023,211.12
Randy,Halvorson,AB749991C,2022 to 2023,919.52
Gilberto,Kessler,AB233220C,2022 to 2023,363.09
Derick,Medhurst,AB364680C,2022 to 2023,704.80
Horace,Emard,AB889962C,2022 to 2023,692.42
Alexys,Brakus,AB992931C,2022 to 2023,998.23
Estelle,Lebsack,AB429159C,2022 to 2023,967.74
Anna,Koepp,AB424692C,2022 to 2023,939.52
Germaine,Towne,AB622322C,2022 to 2023,625.95
Leland,Lindgren,AB729668C,2022 to 2023,992.00
Frankie,Trantow,AB989943C,2022 to 2023,337.84
Jaylan,Heaney,AB204592C,2022 to 2023,913.40
Carole,Nolan,AB945846C,2022 to 2023,290.10
Nels,Hills,AB753668C,2022 to 2023,388.37
Bradly,Krajcik,AB692395C,2022 to 2023,354.13
Waldo,Moen,AB578634C,2022 to 2023,217.92
Raegan,Krajcik,AB948815C,2022 to 2023,608.38
Lurline,Boyer,AB719323C,2022 to 2023,104.36
Clemens,Deckow,AB511557C,2022 to 2023,877.42
Abigail,Dibbert,AB249188C,2022 to 2023,391.24
Sheila,Jaskolski,AB235931C,2022 to 2023,983.42
Destany,Lebsack,AB527976C,2022 to 2023,973.00
Marta,Nienow,AB322955C,2022 to 2023,464.94
Emile,Lesch,AB311203C,2022 to 2023,168.38
Aditya,Volkman,AB613362C,2022 to 2023,4.93
Tabitha,Haley,AB763694C,2022 to 2023,126.70
Tristin,Windler,AB480654C,2022 to 2023,827.37
Annie,Gibson,AB311345C,2022 to 2023,592.79
Orion,Goyette,AB146839C,2022 to 2023,982.98
Alize,Grimes,AB528728C,2022 to 2023,589.37
Carlee,VonRueden,AB932127C,2022 to 2023,782.17
Cleveland,Bogisich,AB399787C,2022 to 2023,74.25
Cleo,Koch,AB507269C,2022 to 2023,552.18
Emily,Wisoky,AB873826C,2022 to 2023,76.67
Karina,Hand,AB434470C,2022 to 2023,794.59
Lilyan,Gaylord,AB656549C,2022 to 2023,43.14
Elliot,Rodriguez,AB561220C,2022 to 2023,105.22
Myrtice,Quitzon,AB429016C,2022 to 2023,373.39
Green,Bartoletti,AB950356C,2022 to 2023,551.01
Earnest,Torp,AB852767C,2022 to 2023,30.30
Joyce,Nitzsche,AB809760C,2022 to 2023,456.70
Vicky,Treutel,AB119700C,2022 to 2023,349.75
Magdalen,Rice,AB319580C,2022 to 2023,874.53
Maxwell,McDermott,AB238635C,2022 to 2023,962.99
Ransom,Mayert,AB730435C,2022 to 2023,932.92
Josue,Marvin,AB878100C,2022 to 2023,40.89
Otho,Little,AB341917C,2022 to 2023,801.96
Lia,Ledner,AB318926C,2022 to 2023,301.28
Sharon,King,AB655686C,2022 to 2023,72.21
Cornell,Wilderman,AB853617C,2022 to 2023,74.76
Ubaldo,Dibbert,AB635320C,2022 to 2023,845.68
Oswald,Stokes,AB274896C,2022 to 2023,603.37
Eryn,Nitzsche,AB253653C,2022 to 2023,459.88
Rebecca,Schoen,AB454029C,2022 to 2023,848.40
Deon,Stamm,AB110272C,2022 to 2023,860.45
Alverta,Quitzon,AB888122C,2022 to 2023,546.41
Daren,Kozey,AB602469C,2022 to 2023,538.46
Daphne,Barrows,AB507796C,2022 to 2023,866.97
Oswald,Mayer,AB188292C,2022 to 2023,189.59
Clarabelle,Tromp,AB262835C,2022 to 2023,620.27
Delmer,Streich,AB699988C,2022 to 2023,473.26
Evie,Stracke,AB143158C,2022 to 2023,823.80
Alivia,Zboncak,AB135375C,2022 to 2023,358.53
Lucile,Nader,AB261705C,2022 to 2023,443.06
Jaiden,Stiedemann,AB150497C,2022 to 2023,243.99
Jacky,Schaden,AB607685C,2022 to 2023,619.08
Turner,Sawayn,AB591546C,2022 to 2023,773.15
Caleigh,Raynor,AB987569C,2022 to 2023,447.30
Leonor,Rodriguez,AB325054C,2022 to 2023,298.42
Wallace,Mohr,AB871608C,2022 to 2023,723.23
Alfredo,Klocko,AB467914C,2022 to 2023,621.76
Nella,Lemke,AB161555C,2022 to 2023,942.73
Leonora,Ondricka,AB930643C,2022 to 2023,757.25
Trisha,Cassin,AB499654C,2022 to 2023,441.46
Jacques,Orn,AB211895C,2022 to 2023,429.55
Mafalda,Turner,AB241765C,2022 to 2023,474.91
Antonio,Zemlak,AB454059C,2022 to 2023,749.01
Lionel,Raynor,AB253691C,2022 to 2023,648.19
Teagan,Bernhard,AB665700C,2022 to 2023,488.31
Domenic,Gutkowski,AB283168C,2022 to 2023,881.37
Dorothy,Mraz,AB139779C,2022 to 2023,624.07
Ebony,Cartwright,AB193340C,2022 to 2023,507.86
Travis,Jones,AB731767C,2022 to 2023,971.24
Lorenz,Wehner,AB156006C,2022 to 2023,970.45
Roberta,Schimmel,AB143004C,2022 to 2023,314.64
Bradly,Mann,AB544463C,2022 to 2023,462.05
Easter,Hirthe,AB250913C,2022 to 2023,563.88
Tania,Mayer,AB243496C,2022 to 2023,246.32
Julius,Walter,AB327297C,2022 to 2023,655.81
Rex,Blanda,AB506630C,2022 to 2023,626.98
Edmund,Predovic,AB991837C,2022 to 2023,974.26
Cruz,Raynor,AB956810C,2022 to 2023,915.60
Teresa,Raynor,AB113785C,2022 to 2023,360.63
Eloise,Bechtelar,AB796036C,2022 to 2023,332.29
Mitchell,Greenfelder,AB483059C,2022 to 2023,260.67
Alyce,Harvey,AB612522C,2022 to 2023,754.77
Cody,Cole,AB801611C,2022 to 2023,408.07
Caleb,Cremin,AB382642C,2022 to 2023,62.77
Theron,Bartoletti,AB564302C,2022 to 2023,382.52
Halie,Labadie,AB355321C,2022 to 2023,371.67
Shawna,Homenick,AB384398C,2022 to 2023,841.21
Benjamin,Sanford,AB702557C,2022 to 2023,199.59
Myah,Dach,AB270525C,2022 to 2023,869.51
Sim,Lesch,AB552255C,2022 to 2023,963.68
Jacques,Ruecker,AB127795C,2022 to 2023,196.28
Lavern,Moore,AB666622C,2022 to 2023,823.56
Laurel,Keeling,AB386767C,2022 to 2023,795.77
Dianna,Mante,AB638572C,2022 to 2023,311.80
Arnold,Rogahn,AB570723C,2022 to 2023,873.48
Martine,O'Keefe,AB860980C,2022 to 2023,55.45
Mable,Kautzer,AB619798C,2022 to 2023,557.08
Ali,Gulgowski,AB550052C,2022 to 2023,507.85
Nico,Halvorson,AB883575C,2022 to 2023,894.04
Taya,Cartwright,AB342026C,2022 to 2023,421.90
Mohammad,Greenholt,AB568768C,2022 to 2023,311.21
Hollie,Howell,AB117774C,2022 to 2023,145.84
Muriel,Aufderhar,AB833002C,2022 to 2023,329.22
Bell,Funk,AB807000C,2022 to 2023,165.22
Sandy,Hartmann,AB615143C,2022 to 2023,980.22
Peter,Bernier,AB219512C,2022 to 2023,686.62
Tyrique,Jewess,AB173414C,2022 to 2023,8.89
Darryl,Jewess,AB303179C,2022 to 2023,805.47
Letha,Kovacek,AB986397C,2022 to 2023,345.37
Carissa,Funk,AB557230C,2022 to 2023,18.63
Dulce,Streich,AB687047C,2022 to 2023,682.52
David,Volkman,AB249554C,2022 to 2023,583.57
Madison,Dach,AB271490C,2022 to 2023,598.94
Ara,Hermann,AB342096C,2022 to 2023,36.67
Elsa,Lang,AB342592C,2022 to 2023,419.46
Elroy,VonRueden,AB769257C,2022 to 2023,849.69
Brad,Auer,AB580195C,2022 to 2023,147.50
Chyna,Rohan,AB774125C,2022 to 2023,254.42
Isabella,Pagac,AB274609C,2022 to 2023,215.26
Enos,Dach,AB669106C,2022 to 2023,165.91
Bryana,Glover,AB368262C,2022 to 2023,195.24
Kevin,Cremin,AB868225C,2022 to 2023,207.10
Alvah,Walker,AB363331C,2022 to 2023,612.07
Alexandro,Krajcik,AB283567C,2022 to 2023,915.79
Jada,Ortiz,AB534259C,2022 to 2023,320.80
Zachery,Toy,AB956291C,2022 to 2023,79.58
Drake,Lesch,AB930586C,2022 to 2023,827.09
Alexandre,Quigley,AB961544C,2022 to 2023,624.04
Jordon,Wyman,AB969262C,2022 to 2023,698.66
Ludie,Harvey,AB344552C,2022 to 2023,254.33
Conor,Koelpin,AB827235C,2022 to 2023,952.65
Savanna,Ruecker,AB871039C,2022 to 2023,627.54
Jimmy,Kuphal,AB270038C,2022 to 2023,4.79
Janelle,Littel,AB425320C,2022 to 2023,199.17
Geoffrey,Kreiger,AB490191C,2022 to 2023,805.81
Brendan,Mayert,AB563434C,2022 to 2023,134.64
Doyle,Anderson,AB657886C,2022 to 2023,945.82
Kathlyn,Strosin,AB154540C,2022 to 2023,790.75
Javonte,Ruecker,AB384566C,2022 to 2023,464.16
Van,Bahringer,AB371985C,2022 to 2023,960.76
Herta,Price,AB806064C,2022 to 2023,82.76
Edythe,Wolf,AB679980C,2022 to 2023,466.71
May,Turner,AB390855C,2022 to 2023,749.87
Kaleb,Hegmann,AB962420C,2022 to 2023,439.23
Pierre,Wintheiser,AB425967C,2022 to 2023,237.94
Joshuah,Pollich,AB260985C,2022 to 2023,876.52
Syble,Friesen,AB388093C,2022 to 2023,500.48
Darien,Schneider,AB789396C,2022 to 2023,30.55
Forrest,Carter,AB345074C,2022 to 2023,609.30
Frances,Kovacek,AB495997C,2022 to 2023,917.31
Katelin,Cartwright,AB867218C,2022 to 2023,211.88
Hailey,Herzog,AB293463C,2022 to 2023,786.91
Raphael,Hilll,AB892651C,2022 to 2023,544.05
Cathrine,Lynch,AB797898C,2022 to 2023,371.72
Elenor,Beer,AB877629C,2022 to 2023,581.43
Cornell,Roob,AB527244C,2022 to 2023,156.91
Bertrand,Watsica,AB469627C,2022 to 2023,934.78
Delphia,Ledner,AB615784C,2022 to 2023,273.43
Oren,McGlynn,AB451181C,2022 to 2023,38.95
Virginia,Bins,AB755904C,2022 to 2023,22.46
Sonya,Durgan,AB482358C,2022 to 2023,421.38
Winnifred,Thompson,AB838411C,2022 to 2023,677.48
Kristin,Little,AB650935C,2022 to 2023,343.61
Shayne,Roberts,AB185856C,2022 to 2023,219.40
Spencer,Rice,AB632889C,2022 to 2023,914.38
Dulce,Renner,AB648350C,2022 to 2023,652.08
Marjolaine,Abbott,AB596392C,2022 to 2023,447.19
Filiberto,Dicki,AB297073C,2022 to 2023,595.66
Lurline,Cummings,AB129501C,2022 to 2023,305.37
Ben,Kub,AB675663C,2022 to 2023,784.81
Delores,Reichert,AB775936C,2022 to 2023,740.52
Maximilian,Emard,AB593260C,2022 to 2023,286.62
Tate,Hessel,AB387721C,2022 to 2023,218.30
Velma,Durgan,AB970521C,2022 to 2023,968.58
Dan,Kilback,AB586826C,2022 to 2023,628.71
Willa,Koch,AB859186C,2022 to 2023,941.15
Kaleb,Goldner,AB742445C,2022 to 2023,69.26
Freda,Harber,AB459364C,2022 to 2023,804.54
Darrion,Feil,AB166472C,2022 to 2023,779.80
Ocie,Wuckert,AB828578C,2022 to 2023,934.35
Graham,Gaylord,AB743093C,2022 to 2023,366.52
Marjorie,Ortiz,AB308964C,2022 to 2023,987.99
Shayne,Sporer,AB408928C,2022 to 2023,523.86
Zora,Rolfson,AB362189C,2022 to 2023,737.96
Fiona,Schulist,AB331186C,2022 to 2023,672.56
Bria,Keebler,AB198055C,2022 to 2023,949.53
Cassidy,Pollich,AB938887C,2022 to 2023,114.92
Lisa,Wintheiser,AB127244C,2022 to 2023,642.74
Nels,Ullrich,AB814434C,2022 to 2023,330.01
Berry,Rempel,AB600882C,2022 to 2023,165.85
Armani,Kuhlman,AB445328C,2022 to 2023,3.60
Wyman,Corwin,AB802869C,2022 to 2023,244.79
Schuyler,Greenholt,AB404613C,2022 to 2023,468.68
Beryl,Smith,AB262608C,2022 to 2023,855.51
Moriah,Muller,AB655407C,2022 to 2023,293.27
Ethan,Donnelly,AB709171C,2022 to 2023,251.17
Meda,Legros,AB895794C,2022 to 2023,755.03
Ruthe,Grady,AB473031C,2022 to 2023,834.79
Antonietta,Bauch,AB931369C,2022 to 2023,14.82
Dillan,Fritsch,AB563274C,2022 to 2023,496.60
Kailee,Pfeffer,AB868568C,2022 to 2023,560.12
Sibyl,Schoen,AB987944C,2022 to 2023,828.28
Americo,Luettgen,AB944265C,2022 to 2023,341.77
Johnpaul,Schiller,AB895112C,2022 to 2023,31.28
Dasia,Bartell,AB411058C,2022 to 2023,397.29
Darrell,Kreiger,AB843809C,2022 to 2023,606.31
Matteo,West,AB960961C,2022 to 2023,959.11
Orrin,Johnson,AB933789C,2022 to 2023,439.39
Janelle,Spinka,AB386341C,2022 to 2023,575.86
Clemmie,Gerhold,AB386511C,2022 to 2023,250.96
Gustave,Donnelly,AB556225C,2022 to 2023,702.90
Tremaine,Barrows,AB731221C,2022 to 2023,351.25
Amara,Konopelski,AB943130C,2022 to 2023,611.09
Guido,Hirthe,AB302851C,2022 to 2023,769.75
Velva,Paucek,AB667540C,2022 to 2023,895.24
Bell,Lynch,AB718407C,2022 to 2023,556.16
Shyann,Schmeler,AB105406C,2022 to 2023,373.42
Roderick,Pollich,AB787574C,2022 to 2023,280.31
Madison,Becker,AB842197C,2022 to 2023,879.51
Serenity,Collins,AB549898C,2022 to 2023,429.17
Kellen,Willms,AB319421C,2022 to 2023,870.85
Harmony,Leuschke,AB945441C,2022 to 2023,735.68
Mabelle,Herzog,AB323440C,2022 to 2023,669.54
Ofelia,Hessel,AB655952C,2022 to 2023,400.62
Immanuel,Eichmann,AB311674C,2022 to 2023,755.79
Arjun,Langworth,AB725291C,2022 to 2023,406.64
Koby,Leannon,AB567895C,2022 to 2023,103.25
Mossie,Willms,AB385956C,2022 to 2023,262.21
Hattie,Hirthe,AB206617C,2022 to 2023,114.66
Moses,Murphy,AB332252C,2022 to 2023,905.87
Ramona,Marvin,AB951181C,2022 to 2023,252.31
Nichole,Kessler,AB509103C,2022 to 2023,204.40
Rolando,Torphy,AB668253C,2022 to 2023,388.99
Mafalda,Weissnat,AB543627C,2022 to 2023,593.13
Patrick,Leannon,AB791306C,2022 to 2023,941.87
Ebba,Paucek,AB863497C,2022 to 2023,208.22
Eliezer,Williamson,AB215492C,2022 to 2023,241.93
Jazlyn,Mayert,AB283665C,2022 to 2023,858.96
Emery,Armstrong,AB998090C,2022 to 2023,623.54
Kieran,Schuster,AB297279C,2022 to 2023,487.15
Abdullah,Schultz,AB482099C,2022 to 2023,94.14
Viola,Glover,AB830647C,2022 to 2023,934.69
Archibald,Jacobi,AB299814C,2022 to 2023,979.45
Sandrine,Jaskolski,AB803142C,2022 to 2023,836.64
Darrell,Adams,AB340138C,2022 to 2023,166.82
Reina,Spinka,AB670562C,2022 to 2023,402.53
Raina,Collier,AB753435C,2022 to 2023,411.12
Kurtis,Hettinger,AB736770C,2022 to 2023,880.91
Teagan,Cruickshank,AB860711C,2022 to 2023,353.97
Robbie,Luettgen,AB525229C,2022 to 2023,254.73
Llewellyn,Effertz,AB390792C,2022 to 2023,560.03
Lavina,Rodriguez,AB626847C,2022 to 2023,964.62
Ulices,Armstrong,AB602479C,2022 to 2023,6.00
Earline,Cremin,AB996862C,2022 to 2023,807.44
Grady,Harris,AB788298C,2022 to 2023,506.23
Lucius,Glover,AB737071C,2022 to 2023,519.59
Augustine,Lang,AB305775C,2022 to 2023,258.63
Carole,Hayes,AB528419C,2022 to 2023,611.60
Darrion,McLaughlin,AB764103C,2022 to 2023,810.79
Margarette,Frami,AB912627C,2022 to 2023,206.87
Clara,Toy,AB298196C,2022 to 2023,805.38
Hipolito,Renner,AB448349C,2022 to 2023,225.50
Luigi,Rau,AB998820C,2022 to 2023,91.74
Zelda,Leffler,AB746706C,2022 to 2023,251.92
Letha,Ward,AB571022C,2022 to 2023,716.22
Cary,Hermiston,AB842539C,2022 to 2023,914.08
Darrin,Rutherford,AB733096C,2022 to 2023,740.12
Laura,Jacobson,AB735572C,2022 to 2023,12.78
Glen,Schmidt,AB783613C,2022 to 2023,193.85
Petra,Hane,AB867381C,2022 to 2023,115.58
Katlyn,Senger,AB374859C,2022 to 2023,166.25
Precious,Keebler,AB995182C,2022 to 2023,773.94
Trevor,Gulgowski,AB479449C,2022 to 2023,439.45
Charlie,Jenkins,AB479119C,2022 to 2023,843.01
Thomas,Lind,AB947841C,2022 to 2023,981.02
Maia,Bogan,AB560813C,2022 to 2023,796.92
Prudence,Morissette,AB195499C,2022 to 2023,123.36
Luciano,Dibbert,AB413083C,2022 to 2023,803.54
Chaz,Graham,AB761236C,2022 to 2023,573.58
Walter,Moore,AB343474C,2022 to 2023,916.48
Aric,Conroy,AB480258C,2022 to 2023,715.87
Wellington,Borer,AB331498C,2022 to 2023,323.35
Anna,Bayer,AB338344C,2022 to 2023,193.08
Noemi,Gusikowski,AB921814C,2022 to 2023,205.46
Blaze,Pfannerstill,AB820557C,2022 to 2023,917.71
Jace,Altenwerth,AB980271C,2022 to 2023,529.87
Albertha,Quigley,AB384431C,2022 to 2023,25.93
Ricky,Roberts,AB244367C,2022 to 2023,639.46
Nickolas,Raynor,AB997352C,2022 to 2023,667.66
Jackson,Farrell,AB879043C,2022 to 2023,706.46
Ignacio,Gislason,AB445920C,2022 to 2023,194.04
Kendrick,Zulauf,AB998785C,2022 to 2023,111.12
Carli,Renner,AB459089C,2022 to 2023,738.38
Elijah,Glover,AB405634C,2022 to 2023,400.82
Taya,Monahan,AB680692C,2022 to 2023,369.78
Margarita,Cronin,AB734039C,2022 to 2023,990.31
Dean,Feil,AB893204C,2022 to 2023,902.41
Demarcus,Fritsch,AB896880C,2022 to 2023,966.35
Muhammad,Goyette,AB164801C,2022 to 2023,356.76
Westley,Blick,AB704237C,2022 to 2023,453.02
Easter,Reinger,AB880300C,2022 to 2023,224.59
Neoma,Legros,AB419489C,2022 to 2023,729.13
Sheila,Larkin,AB424551C,2022 to 2023,675.43
Tania,Sanford,AB153392C,2022 to 2023,387.78
Emely,Hoppe,AB940084C,2022 to 2023,275.31
Sister,Rau,AB293695C,2022 to 2023,144.31
Angelica,Sanford,AB514825C,2022 to 2023,969.78
Austen,Yost,AB634572C,2022 to 2023,712.82
Fausto,Quitzon,AB384030C,2022 to 2023,793.58
Orpha,Streich,AB377135C,2022 to 2023,86.63
Xzavier,Bailey,AB358224C,2022 to 2023,739.29
Madison,Zboncak,AB156458C,2022 to 2023,660.27
Don,Jakubowski,AB751127C,2022 to 2023,775.98
Isabell,Boehm,AB731143C,2022 to 2023,258.93
Clarissa,Weissnat,AB955416C,2022 to 2023,967.30
Ruth,Schowalter,AB990566C,2022 to 2023,986.32
Laurence,Hermann,AB765810C,2022 to 2023,96.76
Alford,Schultz,AB853808C,2022 to 2023,454.46
Modesto,Pouros,AB197282C,2022 to 2023,642.18
Madelyn,Daniel,AB756892C,2022 to 2023,164.62
Casimir,Hermiston,AB221039C,2022 to 2023,332.05
Fredy,Stracke,AB878607C,2022 to 2023,959.31
Gennaro,Bartoletti,AB582757C,2022 to 2023,898.61
Emilia,Turner,AB102681C,2022 to 2023,731.09
Braulio,Rolfson,AB602956C,2022 to 2023,83.12
Michaela,Ferry,AB601354C,2022 to 2023,191.06
Vernon,Reichert,AB377887C,2022 to 2023,683.10
Candice,Wolf,AB557721C,2022 to 2023,738.33
Jeremy,Weissnat,AB955636C,2022 to 2023,280.98
Don,Kovacek,AB526205C,2022 to 2023,9.43
Mylene,Streich,AB516671C,2022 to 2023,191.25
Juanita,Gulgowski,AB589659C,2022 to 2023,232.44
Kobe,Schneider,AB803182C,2022 to 2023,196.01
Brittany,Runolfsdottir,AB313296C,2022 to 2023,646.93
Abel,Huel,AB336290C,2022 to 2023,580.35
Jaquan,Boyle,AB692127C,2022 to 2023,730.08
Missouri,Reichert,AB111070C,2022 to 2023,4.72
Manuela,Huels,AB841877C,2022 to 2023,727.86
Queenie,Crist,AB535035C,2022 to 2023,813.59
Corrine,Kautzer,AB450426C,2022 to 2023,767.94
Paula,Haley,AB702951C,2022 to 2023,482.20
Wilson,Cartwright,AB657001C,2022 to 2023,992.41
Claudine,Graham,AB527199C,2022 to 2023,360.67
Jayde,Veum,AB928466C,2022 to 2023,155.19
Lindsey,Schowalter,AB767812C,2022 to 2023,206.77
Lee,Gutkowski,AB635926C,2022 to 2023,666.79
Henriette,Keeling,AB118354C,2022 to 2023,186.59
Vito,Miller,AB442134C,2022 to 2023,778.37
Kaley,Murphy,AB204334C,2022 to 2023,33.02
Lindsay,Deckow,AB922567C,2022 to 2023,859.29
Elsa,Bode,AB132558C,2022 to 2023,981.87
Katrine,Gutmann,AB879997C,2022 to 2023,871.07
Alvis,Schroeder,AB550530C,2022 to 2023,309.98
Tavares,Johnston,AB317367C,2022 to 2023,616.63
Soledad,Lesch,AB877911C,2022 to 2023,366.71
Ewell,Kassulke,AB642537C,2022 to 2023,124.85
Carole,Schulist,AB285686C,2022 to 2023,882.02
Chandler,Haley,AB111532C,2022 to 2023,269.35
Tremayne,Grant,AB809854C,2022 to 2023,88.51
William,O'Connell,AB457555C,2022 to 2023,622.46
Valerie,Gislason,AB971645C,2022 to 2023,654.94
Sunny,Tromp,AB176193C,2022 to 2023,950.05
Darrion,O'Reilly,AB881533C,2022 to 2023,25.06
Granville,Grady,AB808677C,2022 to 2023,6.94
Alejandrin,Lubowitz,AB689833C,2022 to 2023,136.13
Vivian,Ledner,AB917975C,2022 to 2023,23.87
Rebeka,Runte,AB400126C,2022 to 2023,339.98
Camren,Morissette,AB315648C,2022 to 2023,815.91
Tomas,Stracke,AB139034C,2022 to 2023,820.83
Enos,Anderson,AB893695C,2022 to 2023,541.88
Peter,Okuneva,AB950846C,2022 to 2023,365.54
Dylan,Kiehn,AB114416C,2022 to 2023,617.03
Tess,Sipes,AB784474C,2022 to 2023,392.65
Rosie,Koss,AB289464C,2022 to 2023,700.65
Annalise,Bartoletti,AB294061C,2022 to 2023,284.24
Carrie,Bradtke,AB920708C,2022 to 2023,504.02
Sanford,Windler,AB959766C,2022 to 2023,254.68
Denis,Cummerata,AB294254C,2022 to 2023,63.18
Dena,Rutherford,AB622271C,2022 to 2023,733.82
Mariela,Pfannerstill,AB403303C,2022 to 2023,713.69
Vidal,Luettgen,AB163669C,2022 to 2023,112.13
Donnie,Hartmann,AB326633C,2022 to 2023,854.24
Louvenia,Feeney,AB526146C,2022 to 2023,145.64
Adelia,Auer,AB355495C,2022 to 2023,226.62
Meta,Kassulke,AB879028C,2022 to 2023,391.21
Johann,Shanahan,AB323244C,2022 to 2023,165.67
Amir,Feil,AB233744C,2022 to 2023,403.36
Jermain,Koss,AB688895C,2022 to 2023,783.80
Zechariah,Daniel,AB311777C,2022 to 2023,712.54
Davion,Osinski,AB571084C,2022 to 2023,686.92
Ahmed,Walker,AB999793C,2022 to 2023,705.93
Donnie,Murphy,AB693582C,2022 to 2023,803.35
Elyssa,Nicolas,AB956625C,2022 to 2023,458.33
Freeda,Pfannerstill,AB599177C,2022 to 2023,400.40
Alexandrine,Hoppe,AB643524C,2022 to 2023,579.19
Clinton,Daniel,AB292105C,2022 to 2023,278.36
Creola,Kassulke,AB896222C,2022 to 2023,963.07
Hertha,Kozey,AB330718C,2022 to 2023,660.22
Rylee,Schumm,AB115814C,2022 to 2023,173.75
Kim,Ratke,AB182829C,2022 to 2023,250.53
Hanna,Dare,AB907174C,2022 to 2023,980.84
Lera,Schroeder,AB918108C,2022 to 2023,371.97
Alanis,Rodriguez,AB861383C,2022 to 2023,453.29
Ludwig,Haley,AB649149C,2022 to 2023,631.92
Nyah,Murphy,AB764201C,2022 to 2023,360.87
Myriam,Mayer,AB600605C,2022 to 2023,221.90
Ena,Ritchie,AB413362C,2022 to 2023,780.58
Luciano,Johns,AB970049C,2022 to 2023,298.61
Lambert,Cole,AB108526C,2022 to 2023,591.15
Easter,Ritchie,AB549746C,2022 to 2023,564.38
Whitney,Prohaska,AB852424C,2022 to 2023,199.93
Guiseppe,Herman,AB259790C,2022 to 2023,186.94
Garth,Jacobs,AB250403C,2022 to 2023,597.11
Sabrina,Stamm,AB216932C,2022 to 2023,155.62
Yasmin,Grimes,AB274067C,2022 to 2023,988.85
Fidel,Schumm,AB911323C,2022 to 2023,719.49
Juwan,Gottlieb,AB226183C,2022 to 2023,134.69
Joan,Schuster,AB185638C,2022 to 2023,734.76
Braeden,Mills,AB783371C,2022 to 2023,707.96
Ed,Runolfsson,AB679871C,2022 to 2023,771.73
Genevieve,Beahan,AB136351C,2022 to 2023,605.11
Scarlett,Simonis,AB147107C,2022 to 2023,977.19
Tony,Bosco,AB986651C,2022 to 2023,894.72
Verdie,Wunsch,AB472128C,2022 to 2023,40.95
Aron,Dooley,AB900445C,2022 to 2023,871.31
Vita,Wuckert,AB367623C,2022 to 2023,932.79
Treva,Okuneva,AB947491C,2022 to 2023,418.05
Meagan,Bernier,AB390823C,2022 to 2023,497.73
Katharina,Beer,AB186203C,2022 to 2023,259.94
Casimir,Pouros,AB619025C,2022 to 2023,84.56
Archibald,Kessler,AB704676C,2022 to 2023,313.73
Angelita,Gutkowski,AB573687C,2022 to 2023,781.77
